Organization.Location.1,Organization.Location.2,Organization.Location.3,Organization.Location.4,Organization.Location.5,Location
United Arab Emirates,"Dubai, UAE",,,,United Arab Emirates
United Arab Emirates,United Arab Emirates,"United Arab Emirates, Africa, India",San Jose,San Jose,United Arab Emirates
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,"Mumbai, Maharashtra, India"
United Arab Emirates,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",Dubai,"Dubai, UAE",United Arab Emirates
United Arab Emirates,United Arab Emirates,,,,United Arab Emirates
United Arab Emirates,"Dubai, United Arab Emirates","London, United Kingdom","Barcelona Area, Spain",,United Arab Emirates
United Arab Emirates,Hong Kong,Hong Kong,"Sydney, Australia","Sydney, Australia",United Arab Emirates
United Arab Emirates,,Dubai,Bristol,"Verna Industrial Park, Goa",United Arab Emirates
United Arab Emirates,United Arab Emirates,"London, United Kingdom","Milan Area, Italy","London, United Kingdom",United Arab Emirates
United Arab Emirates,"Dubai, United Arab Emirates",Dubai,"London, United Kingdom,",India,United Arab Emirates
United Arab Emirates,Singapore,Mumbai,"Shenzhen, China","Calgary, Canada Area",United Arab Emirates
United Arab Emirates,Sultanate of Oman,,Kuwait,,United Arab Emirates
United Arab Emirates,Abu Dhabi,United Arab Emirates,United Arab Emirates,"Thiruvananthapuram Area, India",United Arab Emirates
United Arab Emirates,India,,,,"Thrissur, Kerala, India"
United Arab Emirates,Bangalore India,Chennai  India,Chennai India,Bangalore/Chennai India,United Arab Emirates
United Arab Emirates,United Arab Emirates,United Arab Emirates,Saudi Arabia,United Arab Emirates,United Arab Emirates
United Arab Emirates,Dubai,Dubai,Qatar,Singapore,United Arab Emirates
United Arab Emirates,"Dubai, UAE","Melbourne, Australia","Melbourne, Australia","Melbourne, Australia",United Arab Emirates
Unit 5 165 Waldron Road Chester Hill NSW 2162,1st Floor 64B John Street Cabramatta NSW 2166,Edmund Low & Co Chartered Accountant,"18 Alick Street,  Cabramatta, NSW 2166",,"Lurnea, New South Wales, Australia"
Unit 2.22  Level 2  4 Columbia Court  Baulkham Hills  NSW 2153,"Sydney, Australia",Sydney,"Sydney, Australia",,"Sydney, Australia"
Union  SC,"Braintree, MA.","Mansfield, MA",,,Greater Boston Area
Union  New Jersey | Wenzhou City  Zhejiang Province  People’s Republic of China,"Union, New Jersey | Wenzhou City, Zhejiang Province, People’s Republic of China","Riyadh, Saudi Arabia","Rabat, Morocco","New York, New York","Wenzhou City, Zhejiang, China"
UNDP  New Delhi,"Rajasthan, India","New Delhi Area, India","Palwal, Faridabad (Haryana), Delhi","Nirman Bhawan, New Delhi","New Delhi, Delhi, India"
UNDP Regional Hub   Bangkok,Greater New York City Area,"New York, New York",,,"Yannawa, Bangkok, Thailand"
Umm Seqeim  Dubai,Dubai,,,,United Arab Emirates
Ulm    Germany,"Munich Area, Germany","Melbourne, Australia","Melbourne, Australia","Melbourne, Australia","Ulm, Baden-Württemberg, Germany"
Ulaanbaatar  Mongolia,"Umnogovi, Mongolia",Mongolia,Mongolia,Mongolia,Mongolia
Ulaanbaatar  Mongolia,"Umnogovi, Mongolia",Mongolia,Mongolia,Mongolia,Mongolia
UK wide,,Global,,"Belfast, United Kingdom","Belfast, United Kingdom"
UK  Malta  Gibraltar  Isle of Man,"Manchester, United Kingdom",,,"USA, UK, India","Manchester, United Kingdom"
UK Wide,"Manchester, United Kingdom","Milton Keynes, United Kingdom",United Kingdom,Spain,United Kingdom
UK and Ireland,Belfast,,"Belfast, United Kingdom","Belfast, United Kingdom","Belfast, United Kingdom"
UK and India,India,"Mumbai Area, India","Madison, Wisconsin Area","Mumbai Area, India",India
UK & Ireland,Newry,Dublin,"Belfast, United Kingdom","Belfast, United Kingdom","Belfast, United Kingdom"
UK & Ireland,UK & Ireland,"London, United Kingdom",,"Belfast, United Kingdom","Belfast, United Kingdom"
UK   Northern Region,"Dubai, U.A.E.","Dubai, UAE",,"Dubai, United Arab Emirates","Todmorden, West Yorkshire, United Kingdom"
UK,"Pune, Maharashtra, India",,,,"Pune, Maharashtra, India"
UK,,South Africa,"London, United Kingdom",,"London, Greater London, United Kingdom"
UK,,,United Kingdom,,"London, United Kingdom"
UK,,,,,United Kingdom
UK,,,,,"Cambridge, United Kingdom"
UK,Sudan,UK,East Africa,,"London, United Kingdom"
Ujjain    India,,,,,India
Uganda,"Surat Area, India","Vadodara Area, India",,,"New Delhi, Delhi, India"
Udaipur  Rajasthan India,,,,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,,,,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,Rajasthan,"Mumbai Area, India",Mumbai,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,,,,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,"Udaipur Area, India",San Jose,,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,,,,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,"Port Moresby, Papua New Gunea","Hyderabad Area, India",,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,,,,,"Udaipur, Rajasthan, India"
Udaipur  Rajasthan  India,"Udaipur, Rajasthan, India",,,,"Udaipur, Rajasthan, India"
Udaipur    India,Fort McMurray,"Dhanbad Area, India",Ajmer,,"Ajmer, Rajasthan, India"
Udaipur    India,"Udaipur Area, India",,,,"Udaipur, Rajasthan, India"
Udaipur    India,,,,,"Chittorgarh, Rajasthan, India"
Udaipur    India,,,,,"Udaipur Area, India"
Udaipur    India,"Jaipur, India",,,,"Udaipur Area, India"
Udaipur    India,pune,Panvel,,,"Mumbai Area, India"
Udaipur    India,"Udaipur Area, India","Ahmedabad Area, India",,,"Malvern East, Victoria, Australia"
Udaipur    India,New Haven,"New Haven, Connecticut","New Haven, Connecticut","New Haven, Connecticut","New Haven, Connecticut"
Udaipur,,,,,"Udaipur Area, India"
Udaipur,Udaipur,"London, United Kingdom",,,"Udaipur, Rajasthan, India"
Udaipur,,,,,"Udaipur, Rajasthan, India"
Udaipur,London,"London, United Kingdom","London, United Kingdom","London, United Kingdom","Udaipur, Rajasthan, India"
Udaipur,"Gurgaon, India","Udaipur, India","Mumbai, India",,"Udaipur, Rajasthan, India"
Udaipur,"Udaipur Area, India","Ahmedabad, Surat and Mumbai",,,"Udaipur, Rajasthan, India"
UCSF School of Nursing  San Francisco  CA,San Francisco Bay Area,San Francisco Bay Area,"Ottawa, Canada Area",Mexico,San Francisco Bay Area
UC Berkeley Skydeck & Plug and Play,"Toronto, Canada Area",,"New Delhi Area, India",,San Francisco Bay Area
UAE|Qatar|Egypt|India|USA,,"dubai , uae",,,"Orlando, Florida"
UAE  Egypt & Qatar,,,,,United Arab Emirates
UAE  Dubai,UAE,UAE,"Samara Region, Russian Federation",,United Arab Emirates
UAE,"Srinagar, Kashmir","Srinagar, J&K India",New Delhi,"Vasant Kunj, New Delhi","Srinagar, Jammu & Kashmir, India"
UAE,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Abu Dhabi, UAE",,"Dubai, UAE",United Arab Emirates
UAE,Dubai,Dubai,Dubai,Dubai,United Arab Emirates
UAE,UAE,United Arab Emirates,Lebanon,Lebanon / Iraq,United Arab Emirates
UAE,GCC,,,,United Arab Emirates
UAE,Dubai,,,"London, United Kingdom",United Arab Emirates
UAE,"Al Ain, UAE",,,,United Arab Emirates
UAE,Singapore,"Hunter Valley, Australia",Thailand,Middle East,United Arab Emirates
UAE,"New Delhi Area, India","Sydney, Australia",,"Sydney, Australia",United Arab Emirates
UAE,,,,,United Arab Emirates
UAE,Dubai,"Hyderabad Area, India","Sydney, Australia",,United Arab Emirates
UAE,UAE,Malaysia,,,United Arab Emirates
U.S.A .  Canada. Russia,"Conroe, Texas. U.S.A.",,Udhalviah Compound,"Bogota, D.C.","Mahabub Nagar, Andhra Pradesh, India"
U.S. Department of Transportation  Federal Highway Administration Headquarter,"10215 Timber Ridge Drive Ashland, VA  23005",University of Wisconsin-Madison Department of Civil&  Environmental Engineering,,"Karlsruhe Area, Germany","Washington, District Of Columbia"
U.P.,"Varanasi Area, India","Varanasi Area, India","Varanasi Area, India",,"Varanasi, Uttar Pradesh, India"
Tysons,,,,,"Chennai, Tamil Nadu, India"
Tyrone and Fermanagh,"Omagh, Belfast, Birmingham, Glasgow, Dublin.",United Kingdom,,,"Belfast, United Kingdom"
Tx. USA,"New Delhi Area, India","New Delhi Area, India and London, UK","New Delhi Area, India","New Delhi Area, India","South Delhi, Delhi, India"
Twin Cities,"Food Science and Nutrition Department, St. Paul","Minnesota, USA","Minnesota, USA",Nepal,"Saint Paul, Minnesota"
Tuticorin,,,,,"Tuticorin, Tamil Nadu, India"
Tuticorin,,,,,"Tuticorin, Tamil Nadu, India"
Tuscaloosa  Alabama  ,"Pune, India","Esslingen and Neunkirchen, Germany","Pune,India",,"Durham, North Carolina"
Turbhe  Navi Mumbai,,,,,"Mumbai Area, India"
Tunbridge Wells,"London, United Kingdom",Nationwide,,,"Royal Tunbridge Wells, Kent, United Kingdom"
Tumakuru    India,,,,,"Hyderabad, Telangana, India"
Tumakuru    India,"Chandigarh Area, India","Mumbai Area, India","Bundoora, Australia","Mumbai Area, India","Chennai, Tamil Nadu, India"
Tuban Plant,United Kingdom,United Kingdom,"Dhahran, Saudi Arabia","Dammam, Saudi Arabia",Indonesia
Tso Pema,"New Delhi Area, India","Berlin, Germany","Berlin, Germany","Berlin, Potsdam, Hamburg","Mandi, Himachal Pradesh, India"
Tsawwassen,Tsawwassen Mills,"Kelowna, BC","Kelowna, BC","Edmonton, AB","Delta, British Columbia, Canada"
Truro  United Kingdom,,,,,"Chennai, Tamil Nadu, India"
Truro  United Kingdom,,,,,"Chennai, Tamil Nadu, India"
Troy  Michigan,"Genoa, IL","Horicon, WI","U.P, India","U.P, India","Troy, Michigan"
Troy NY,,,"Albany, New York Area",,"Albany, New York Area"
Troy,"Stockholm, Sweden","Oslo Area, Norway","Nydalen Allé 33, Oslo",,"Troy, New York"
Tromso    Norway,,"London, United Kingdom",England,www.hrhpatel.org,"London, United Kingdom"
Trivandrum  Kerala  India,,,,,"Thiruvananthapuram, Kerala, India"
Trivandrum  Kerala IND,"Trivandrum, Kerala",,,,"Thiruvananthapuram, Kerala, India"
Trivandrum  Kerala,"Thiruvananthapuram Area, India",Qatar,Singapore,India,"Bengaluru, Karnataka, India"
Trivandrum  Kerala,"Bangalore, Karnataka","Trivandrum, Kerala","Mumbai, India","Bangalore, Karnataka","Bengaluru, Karnataka, India"
Trivandrum  India,,,,,"Dakshina Kannada, Karnataka, India"
Trivandrum  India,Trivandrum,,,,"Thiruvananthapuram, Kerala, India"
Trivandrum  India,"Trivandrum, India",India,,,"Thiruvananthapuram, Kerala, India"
Trivandrum ,Trivandrum,Bangalore,Bangalore,Boston - United States,"Bengaluru Area, India"
Trivandrum,Gaydon,Ghaziabad,kochi,,"Thiruvananthapuram, Kerala, India"
trivandrum,bangalore,"Cochin Area, India",,,"Bengaluru, Karnataka, India"
Trivandrum,,,,,"Thiruvananthapuram Area, India"
Trivandrum,,,,,"Thiruvananthapuram Area, India"
Trivandrum,Trivandrum,Bangalore,"Trichur Area, Kerala, India","Aluva, Kerala","Thiruvananthapuram Area, India"
Trivandrum,Singapore,Singapore,"Bangalore, India","Ernakulam, Kerala, India","Thiruvananthapuram, Kerala, India"
Trivandrum,"Brisbane, Australia",Ernakulam,Kovalam,Trivandrum,"Thiruvananthapuram Area, India"
trivandrum,Technopark,trivandrum,,,"Thiruvananthapuram, Kerala, India"
Trivandrum,"Mumbai Area, India",,,,"Thiruvananthapuram Area, India"
Trivandrum,,,,,"Howrah, West Bengal, India"
Trivandrum,,,,,"Thiruvananthapuram Area, India"
Trivandrum,,,,,"Thiruvananthapuram, Kerala, India"
Trivandrum,Tacloban,"Tacloban, Philippines",Tacloban,"Tacloban, Philippines","Nagercoil Area, India"
Trieste    Italy,"Kras - Carso - Karst, tra Kontovel, Pliskovica e Trieste",,"Trieste Area, Italy",,"Trieste, Friuli-Venezia Giulia, Italy"
Trieste    Italy,,"Adelaide, Australia","Venice Area, Italy","Denpasar Area, Bali, Indonesia","Trieste, Friuli-Venezia Giulia, Italy"
Triesen  Liechtenstein,"Germany, Albstadt","Liechtenstein, Triesen","Liechtenstein, Triesen","Liechtenstein, Triesen",Austria
Trier    Germany,"Saarbrücken Area, Germany",Saarbrücken/Cologne,"Paris Area, France",,Germany
trichy,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",petaling jaya,trichy,"Tiruchirappalli, Tamil Nadu, India"
Trichur    India,,,,,"Trichur Area, India"
Trichur    India,Singapore,,,,"Thrissur, Kerala, India"
Travels internationally,,"Alberta Area, Canada",,,"Calgary, Canada Area"
Transform Fitness & FitnessOne India Ltd  Chennai  India,Chennai / Pan India,,,,"Chennai, Tamil Nadu, India"
Trade Marks Registry  Ministry of Commerce & Industry Sec4  Dwarka  New Delhi 75,"Sector-14 Dwarka, New Delhi-110 078","Jyotiba Phule Nagar, U. P.",,,"New Delhi Area, India"
Townsville  Australia,"Hyderabad Area, India",,,,"Hyderabad Area, India"
Townsville  Australia,,"Townsville, Australia",Townsville,,"James Cook University, Queensland, Australia"
Townsville  Australia,"Queensland, Australia","Townsville, Australia",,,"Townsville, Australia"
Townsville  Australia,,,,,"Townsville, Australia"
Townsville  Australia,"Kirwan,Townsville,QLD,Australia","Townsville, Australia","Kirwan,Townsville,Qld,Australia",,"Townsville, Australia"
Townsville  Australia,"Melbourne, Australia","Melbourne, Australia",,,"James Cook University, Queensland, Australia"
Townsville,,"Clayfield, Brisbane.",Clayfield College,,"North Ward, Queensland, Australia"
Tower 42  EC2N 1HQ,"Oxford, United Kingdom","London, United Kingdom","London, United Kingdom","London, United Kingdom","London, United Kingdom"
Tourism Calgary,Calgary,Calgary,"Calgary, Alberta",,"Calgary, Alberta, Canada"
Toulouse    France,Toulouse,"Toulouse Area, France","Toulouse Area, France","Toulouse Area, France","Toulouse Area, France"
Toulouse    France,"Bangalore, India","Glasgow, United Kingdom",,,"Bengaluru Area, India"
Toulouse    France,,"Toulouse Area, France","Toulouse Area, France","Toulouse Area, France & Bangalore, India","Toulouse Area, France"
Toulouse    France,Paris,Paris,"Paris, London",,"Toulouse Area, France"
Toulouse    France,"Barcelona Area, Spain","Marrakech Prefecture, Morocco","Melbourne, Australia","Marrakech Prefecture, Morocco","Toulouse Area, France"
Toulouse,Toulouse,"Lyon Area, France","Toulouse Area, France","Toulouse Area, France","Toulouse Area, France"
Torrance  California,"Frederick, MD, USA","Edmonton, Canada Area","Faridabad Area, India","New Delhi Area, India",Greater Los Angeles Area
Toronto GTA,"Ontario, Canada","Ottawa, Ontario, Canada","Ankleshwar-Gujarat, India","Valsad-Gujarat, India","North York, Ontario, Canada"
toronto montreal,Toronto/Montreal,Toronto,,,"Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Mississauga, Ontario","Toronto, Canada Area"
Toronto  Ontario  Canada,"Schlumberger Technology Center, Sugar Land, Houston / UBC, Vancouver, Canada",Dept. of Mechanical Engineering,"Vancouver, Canada Area","Montreal, Canada Area","Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area",,,,"Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area",,Noida,Noida,"Toronto, Canada Area"
Toronto  Ontario  Canada,Thunder bay,"Hyderabad Area, India",,,"Toronto, Canada Area"
Toronto  Ontario  Canada,"Guelph, Ontario","Toronto, Ontario","Toronto, Ontario",,"Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Ontario  Canada,"Dubai, United Arab Emirates","Dubai, UAE","Knowledge Village, Dubai","Dubai, UAE","Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area",India,India,,"Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Ontario, Canada","Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, ON","Toronto, Canada","Toronto, ON",,"Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area",Kingston,Mumbai,Mumbai,"Toronto, Ontario, Canada"
Toronto  Ontario  Canada,Canada,"Regina, SK","Kingston, ON","Saskatoon, SK","Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area","Toronto, Canada Area","Bengaluru Area, India",,"Toronto, Ontario, Canada"
Toronto  Ontario  Canada,"Toronto, ON Canada","Toronto, ON Canada","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Ontario  Canada,"Toronto, Canada Area","Kingston, Ontario","Abu Dhabi, UAE",,Canada
Toronto  Ontario  Canada,"Kingston, ON","Toronto, Canada Area","Bhopal Area, India","New Delhi Area, India","Brampton, Ontario, Canada"
Toronto  Ontario  Canada,"Toronto, Ontario, Canada",,Gurgaon,"Mumbai Area, India","Toronto, Canada Area"
Toronto  Ontario  Canada,"Vaughan, Ontario, Canada","Toronto, Ontario","Toronto, Ontario","Halifax, Nova Scotia","Toronto, Ontario, Canada"
